id_predio,colonia,superficie_terreno,superficie_construccion,valor_unitario_suelo,subsidio,density,modernity_score,anio_construccion,indice_inversion,cluster
5,DEL CARMEN,262.17,336.85,5389.03,0.0,1.2848533394362436,0.3188405797101449,1972.0,0.849468161474452,0
6,DEL CARMEN,394.0,366.0,5389.03,0.0,0.9289340101522843,0.2463768115942029,1967.0,0.8731214233073745,0
7,DEL CARMEN,390.0,363.0,5389.03,0.0,0.9307692307692308,0.2463768115942029,1967.0,0.8729994604067892,0
8,DEL CARMEN,208.0,225.0,5389.03,561.83,1.0817307692307692,0.7246376811594203,2000.0,0.8629670387254066,0
9,DEL CARMEN,208.0,225.0,5389.03,561.83,1.0817307692307692,0.7246376811594203,2000.0,0.8629670387254066,0
10,DEL CARMEN,100.0,133.0,5389.03,902.29,1.33,0.6956521739130435,1998.0,0.8464678586099099,0
11,DEL CARMEN,100.0,133.0,5389.03,902.29,1.33,0.6956521739130435,1998.0,0.8464678586099099,0
12,DEL CARMEN,100.0,133.0,5389.03,902.29,1.33,0.6956521739130435,1998.0,0.8464678586099099,0
13,DEL CARMEN,100.0,133.0,5389.03,902.29,1.33,0.6956521739130435,1998.0,0.8464678586099099,0
19,DEL CARMEN,38.0,132.0,5389.03,848.56,3.473684210526316,0.2898550724637681,1970.0,0.7040054528150645,1
27,DEL CARMEN,396.0,320.0,5389.03,1277.76,0.8080808080808081,0.14492753623188406,1960.0,0.881152941117027,0
28,DEL CARMEN,245.57,360.46,5389.03,0.0,1.467850307447978,0.30434782608695654,1971.0,0.8373067674649709,0
32,DEL CARMEN,43.0,150.0,5389.03,657.17,3.488372093023256,0.5072463768115942,1985.0,0.7030293430567937,1
33,DEL CARMEN,42.0,145.0,5389.03,869.07,3.4523809523809526,0.2898550724637681,1970.0,0.7054211993096996,1
34,DEL CARMEN,43.0,150.0,5389.03,923.95,3.488372093023256,0.6956521739130435,1998.0,0.7030293430567937,1
35,DEL CARMEN,43.0,150.0,5389.03,657.17,3.488372093023256,0.5072463768115942,1985.0,0.7030293430567937,1
37,DEL CARMEN,43.0,150.0,5389.03,657.17,3.488372093023256,0.5072463768115942,1985.0,0.7030293430567937,1
38,DEL CARMEN,132.0,120.0,5389.03,1229.4,0.9090909090909091,0.4492753623188406,1981.0,0.8744401324258876,0
39,DEL CARMEN,148.0,134.0,5389.03,685.61,0.9054054054054054,0.2898550724637681,1970.0,0.8746850592294833,0
40,DEL CARMEN,43.0,150.0,5389.03,815.44,3.488372093023256,0.2318840579710145,1966.0,0.7030293430567937,1
41,DEL CARMEN,43.0,150.0,5389.03,657.17,3.488372093023256,0.5072463768115942,1985.0,0.7030293430567937,1
42,DEL CARMEN,38.0,133.0,5389.03,868.37,3.5,0.30434782608695654,1971.0,0.7022565894981625,1
43,DEL CARMEN,43.0,150.0,5389.03,908.04,3.488372093023256,0.2898550724637681,1970.0,0.7030293430567937,1
44,DEL CARMEN,203.0,349.0,5389.03,637.12,1.7192118226600985,0.36231884057971014,1975.0,0.8206020840020254,0
45,DEL CARMEN,215.0,212.0,5389.03,540.99,0.986046511627907,0.2898550724637681,1970.0,0.8693259088742197,0
